level,agent,config,env,seed,step,episode,train_return,train_mean_last_10,eval_mean,eval_std,policy_loss,value_loss,entropy_loss,actor_loss,q1_loss,q2_loss,alpha
l3,PPO,ppo_discrete,Pendulum-v1,0,1000,5,-1076.727134355608,-1334.5842041273477,-1390.9348292803534,115.54568719236973,-0.04951725900173187,3958.576904296875,-2.037607192993164,,,,
l3,PPO,ppo_discrete,Pendulum-v1,0,2000,10,-1458.5043544639677,-1357.1438750465654,-1621.8176546247578,62.18603173008721,-0.005939487833529711,6526.7685546875,-2.133378505706787,,,,
l3,PPO,ppo_discrete,Pendulum-v1,0,3000,15,-1320.2584572376265,-1398.8743096559535,-1592.3452269936395,43.00362020659202,-0.2526989281177521,5203.5888671875,-2.0655784606933594,,,,
l3,PPO,ppo_discrete,Pendulum-v1,1,1000,5,-1134.6233204623659,-1318.9937929110538,-1423.218765432318,156.75760086396934,0.39935988187789917,5646.9150390625,-2.08475661277771,,,,
l3,PPO,ppo_discrete,Pendulum-v1,1,2000,10,-1415.9535194026084,-1329.3682045912967,-1412.3280629303842,160.27772098442836,0.06682999432086945,6187.29638671875,-2.091262102127075,,,,
l3,PPO,ppo_discrete,Pendulum-v1,1,3000,15,-1338.4759550865053,-1308.7519559893506,-1272.8733190580733,247.3453846018843,-0.07485706359148026,5892.07568359375,-2.0359339714050293,,,,
